#METADATA
#DATA
"Study Name","Respondent Name","Metrics1","Thresholded value"
"2 GSR 81","Respondent 1",1,0
"2 GSR 81","Respondent 1",2,0
"2 GSR 81","Respondent 1",3,0
"2 GSR 81","Respondent 1",4,0
"2 GSR 81","Respondent 1",5,0
"2 GSR 81","Respondent 1",6,0
"2 GSR 81","Respondent 1",7,0
"2 GSR 81","Respondent 1",8,0
"2 GSR 81","Respondent 1",9,0
"2 GSR 81","Respondent 1",10,0
"2 GSR 81","Respondent 1",11,0
"2 GSR 81","Respondent 1",12,0
"2 GSR 81","Respondent 1",13,0
"2 GSR 81","Respondent 1",14,0
"2 GSR 81","Respondent 1",15,0
"2 GSR 81","Respondent 1",16,0
"2 GSR 81","Respondent 1",17,0
"2 GSR 81","Respondent 1",18,0
"2 GSR 81","Respondent 1",19,0
"2 GSR 81","Respondent 1",20,0
"2 GSR 81","Respondent 1",21,0
"2 GSR 81","Respondent 1",22,0
"2 GSR 81","Respondent 1",23,0
"2 GSR 81","Respondent 1",24,0
"2 GSR 81","Respondent 1",25,0
"2 GSR 81","Respondent 1",26,0
"2 GSR 81","Respondent 1",27,0
"2 GSR 81","Respondent 1",28,0
"2 GSR 81","Respondent 1",29,0
"2 GSR 81","Respondent 1",30,0
"2 GSR 81","Respondent 1",31,0
"2 GSR 81","Respondent 1",32,0
"2 GSR 81","Respondent 1",33,0
"2 GSR 81","Respondent 1",34,0
"2 GSR 81","Respondent 1",35,0
"2 GSR 81","Respondent 1",36,0
"2 GSR 81","Respondent 1",37,0
"2 GSR 81","Respondent 1",38,0
"2 GSR 81","Respondent 1",39,0
"2 GSR 81","Respondent 1",40,0
"2 GSR 81","Respondent 1",41,0
"2 GSR 81","Respondent 1",42,0
"2 GSR 81","Respondent 1",43,0
"2 GSR 81","Respondent 1",44,0
"2 GSR 81","Respondent 1",45,0
"2 GSR 81","Respondent 1",46,0
"2 GSR 81","Respondent 1",47,0
"2 GSR 81","Respondent 1",48,0
"2 GSR 81","Respondent 1",49,0
"2 GSR 81","Respondent 1",50,0
"2 GSR 81","Respondent 1",51,0
"2 GSR 81","Respondent 1",52,0
"2 GSR 81","Respondent 1",53,0
"2 GSR 81","Respondent 1",54,0
"2 GSR 81","Respondent 1",55,0
"2 GSR 81","Respondent 1",56,0
"2 GSR 81","Respondent 1",57,0
"2 GSR 81","Respondent 1",58,0
"2 GSR 81","Respondent 1",59,0
"2 GSR 81","Respondent 1",60,0
"2 GSR 81","Respondent 1",61,0
"2 GSR 81","Respondent 1",62,0
"2 GSR 81","Respondent 1",63,0
"2 GSR 81","Respondent 1",64,0
"2 GSR 81","Respondent 1",65,0
"2 GSR 81","Respondent 1",66,0
"2 GSR 81","Respondent 1",67,0
"2 GSR 81","Respondent 1",68,0
"2 GSR 81","Respondent 1",69,0
"2 GSR 81","Respondent 1",70,0
"2 GSR 81","Respondent 1",71,0
"2 GSR 81","Respondent 1",72,0
"2 GSR 81","Respondent 1",73,0
"2 GSR 81","Respondent 1",74,0
"2 GSR 81","Respondent 1",75,0
"2 GSR 81","Respondent 1",76,0
"2 GSR 81","Respondent 1",77,0
"2 GSR 81","Respondent 1",78,0
"2 GSR 81","Respondent 1",79,0
"2 GSR 81","Respondent 1",80,0
"2 GSR 81","Respondent 1",81,0
"2 GSR 81","Respondent 1",82,0
"2 GSR 81","Respondent 1",83,0
"2 GSR 81","Respondent 1",84,0
"2 GSR 81","Respondent 1",85,0
"2 GSR 81","Respondent 1",86,0
"2 GSR 81","Respondent 1",87,0
"2 GSR 81","Respondent 1",88,0
"2 GSR 81","Respondent 1",89,0
"2 GSR 81","Respondent 1",90,0
"2 GSR 81","Respondent 1",91,0
"2 GSR 81","Respondent 1",92,0
"2 GSR 81","Respondent 1",93,0
"2 GSR 81","Respondent 1",94,0
"2 GSR 81","Respondent 1",95,0
"2 GSR 81","Respondent 1",96,0
"2 GSR 81","Respondent 1",97,0
"2 GSR 81","Respondent 1",98,0
"2 GSR 81","Respondent 1",99,0
"2 GSR 81","Respondent 1",100,0
